comid,MMI_BENT,agkffact,bfi,cbnf,conif,crophay,fert,manure,pestic1997,urbmdhi,lon,lat,easting,northing,state
13393515,0.67,0.005063043,69.92995237,0.155785934,6.388344074,0.140095265,1.791538246,0,0.963492946,0.084057159,-89.43651686,45.95857918,776.1287851,5095.621856,Wisconsin
23994105,0.556,0.002873516,62.87801883,0.066311912,13.91731478,2.29226361,0.696275072,0.342611543,0.024158782,0.941465411,-122.7578082,47.24423795,-1739.718131,5678.70029,Washington
12131946,0.604,0.02253833,70.5306644,1.627768313,0.681431005,14.31005111,3.255536627,0.87649063,12.84203601,1.618398637,-85.35703162,43.69741254,1115.955396,4866.734863,Michigan
12144448,0.439,0.122927632,69.76973684,9.967105263,0,34.53947368,13.95394737,3.322368421,28.26196865,0,-85.29963993,42.58960883,1131.963317,4744.073377,Michigan
10363726,0.342,0.03791539,45.34629479,3.168187234,30.42999985,26.23476737,22.65997965,2.089595908,167.5296822,0.871533883,-84.56613222,30.43444385,1311.293205,3397.311409,Florida
1849481,0.691,0,64.55008489,0,0.594227504,0,0,0,0.016153032,0.848896435,-91.04724265,46.25995836,650.4955972,5124.784544,Wisconsin
18486084,0.206,0.241312272,48.28553568,32.0326986,0.149067128,64.69032506,51.84208502,7.043373726,132.0404714,1.336795538,-85.65005697,41.22553216,1116.251487,4589.919673,Indiana
4528811,0.46,0.015824426,27.04109945,0.318723805,0.766756555,3.352935443,1.168653952,0.106241268,1.556164303,9.165340005,-77.35053338,38.61363749,1866.091447,4391.975951,Virginia
4507892,0.4,0.017567568,30.76332046,0.150579151,0,4.71042471,1.656370656,0.05019305,0.60695961,10.38610039,-77.33750775,38.96543309,1860.324236,4431.508892,Virginia
6827585,0.666,0,60,0,0,0,0,0,0,0,-88.08197562,46.69731071,875.9747746,5183.28517,Michigan
9328136,0.38,0,51,0,3.116603976,0.214938205,0,0,0.252665983,0,-71.87022547,43.3271806,2214.631118,5019.305908,New Hampshire
21489910,0.515,0.002446941,48.94382022,0.030319244,14.67808097,10.89709292,1.637239165,0.090957731,3932.054296,0.552880328,-81.35075297,27.20734613,1658.316308,3063.728969,Florida
17861666,0.356,0,69.08448541,0,65.13056836,0,0,0,0,0,-105.4171703,36.59538324,-613.1552887,4122.554774,New Mexico
12265276,0.315,0.138216864,59.81838018,20.85102811,0.144230769,53.0362426,39.44070266,3.615828402,114.4896969,2.656804734,-85.73665251,41.42652417,1107.105971,4611.641656,Indiana
8488868,0.475,0.023163588,39.46248735,0.349190283,3.934716599,4.725455466,1.513157895,0.116396761,2.288698455,0.575657895,-77.65283046,38.29911949,1845.575926,4352.217871,Virginia
11958862,0.682,0,61,0,4.816859007,0,0,0,0.289801333,0,-87.99517073,46.44567583,884.3877996,5155.749082,Michigan
23979202,0.309,0,65.29885057,0,0.287356322,0,0,0,0.044745932,28.5440613,-122.1878281,47.421301,-1689.520977,5680.439343,Washington
18260065,0.516,3.08E-06,39.24063907,3.08E-05,43.60002467,0.154216273,0.001172044,0.005058294,0.119540156,0.046264882,-82.43718493,30.2271907,1519.285447,3391.600881,Florida
3622797,0.338,0.068072591,16.90863579,6.991239049,0,11.51439299,17.29411765,0.183979975,30.25419266,15.3942428,-89.99253633,38.75119466,761.3573646,4293.462715,Illinois
23993511,0.506,0.005067961,48.41121899,0.112621359,13.2038835,2.63214671,1.03236246,1.238834951,0.092803784,3.545487235,-122.294709,48.14153395,-1664.881539,5761.974624,Washington
6729131,0.59,0,48.5439066,0,9.320456132,0,0,0,0.040666801,0.003878675,-71.75199831,43.87760186,2207.818782,5083.054815,New Hampshire
1797447,0.6,0,60,0,0,0,0,0,0.004456416,0,-91.3411842,46.57618073,627.1052315,5159.404891,Wisconsin
24189308,0.401,0,61.98105243,0,79.42920155,0,0,0,0.000142079,0,-116.46302,44.96411532,-1349.181881,5254.266431,Idaho
166758618,0.601,0.025721305,37,2.615235925,19.37656418,17.42324048,14.82365149,0,65.3300447,0.76606914,-83.13408552,31.01404934,1443.916147,3473.292005,Georgia
272255,0.658,0,69.99173127,0,48.21705426,0.310077519,0,0,2.835817545,0.904392765,-86.44938707,45.90747606,1008.038348,5104.671026,Michigan
13294816,0.243,0.26469697,59.77840909,31.49905303,0,80.87121212,51.07954545,2.553977273,124.5022081,1.515151515,-88.94241892,42.73179781,832.1838755,4739.020617,Wisconsin
10106615,0.222,0.090444134,22.80556396,5.805866344,4.762624735,25.75219232,13.30511037,1.451466586,22.09512751,0.355306925,-86.6435166,38.12722808,1057.389635,4239.065264,Indiana
13432623,0.489,0.110522267,63.54624586,20.10209468,0.297635761,46.30201606,40.8331555,0.477059583,105.9240594,1.409558039,-86.47460012,41.41448143,1045.491439,4605.365909,Indiana
23868618,0.685,0,45.57153179,0,38.65606936,0,0,0,2.047976846,0,-124.0353729,46.42738749,-1873.278824,5630.613214,Washington
11975115,0.406,0,67.81492537,0,85.07462687,0,0,0,0,0,-110.6373206,40.55108652,-996.7462933,4641.309578,Utah
20089074,0.392,0.0425,32,0.25,9.027777778,7.638888889,11.125,3,18.76382446,3.472222222,-90.50085743,30.54652122,739.7418514,3382.005267,Louisiana
13296410,0.246,0.269497245,63.96686042,24.26043633,0.317052918,79.8067487,42.66490526,8.365667698,87.656656,0.913414358,-89.36915872,42.89271929,796.4730928,4755.299697,Wisconsin
12265330,0.438,0.192833884,59.46684676,29.64333438,0.226730022,65.02810005,46.87783111,11.03007791,141.4683921,0.993752864,-85.83056306,41.38935739,1099.595062,4606.853433,Indiana
23862965,0.47,0,48.35651061,0,44.66247201,0.021328783,0,0,0.002047241,0.181294657,-124.0480213,47.13507449,-1840.444933,5708.010329,Washington
8718275,0.424,0.015560779,41.70041415,0.722464741,18.21692411,4.387732259,1.667226326,2.000671592,0.683828724,5.826057757,-77.90604647,37.03911266,1846.500857,4207.484309,Virginia
5202190,0.636,0.018656,52,0.424,11.8,8.2,3.9008,0.5088,1.926660412,0.2,-69.52447631,44.2114492,2375.600971,5171.1618,Maine
13124082,0.551,0.046343284,50.96268657,3.604477612,0,11.69154229,3.604477612,2.574626866,10.87174921,0.497512438,-91.46149887,45.30484624,620.6125737,5017.967121,Wisconsin
24252344,0.319,0.032211999,50.99663082,0.832447842,22.15887003,13.15277958,3.43384735,3.850071271,2.692021616,0.038875211,-122.4059281,46.49768799,-1747.145198,5586.366095,Washington
24173230,0.483,7.10E-05,65.33838417,0.022876676,86.53694452,0.013147515,0.019721273,0.007888509,0.171960283,0,-116.1841071,44.32909636,-1348.44504,5177.21696,Idaho
6711265,0.561,0,53.84045584,0,18.8034188,0,0,0,5.572340685,0,-70.26303392,44.41546689,2310.035242,5176.254342,Maine
13078325,0.616,0,66.90860215,0,0,0,0,0,2.271277253,0.537634409,-91.5643974,45.74712287,611.6670549,5066.953869,Wisconsin
6961999,0.476,0.179852566,37,27.84960718,0,65.70247934,48.73681257,1.265891236,165.1455396,9.26436078,-90.39981381,40.98744842,718.7317434,4540.620268,Illinois
4573665,0.425,0.010839138,50,0.262354892,4.278606965,5.074626866,0.637147595,0.487230514,4.042338987,0.033167496,-72.29345053,44.08631378,2158.212802,5094.673442,Vermont
12259122,0.086,0.106193593,59.77950308,13.49184311,0.183646199,35.33795903,18.05709467,0.769048827,86.6687399,5.861672252,-85.0318715,41.70739819,1163.159774,4648.075587,Indiana
167552428,0.331,0.125864406,51.00995981,18.08945231,0.355412289,47.11279174,36.17890463,1.506627819,100.1519575,8.134188802,-85.35248845,41.48876558,1138.623973,4621.341429,Indiana
24428741,0.333,0.034198988,70,1.55143339,0.168634064,12.64755481,7.679595278,1.47386172,1708.535271,52.1079258,-120.5560269,46.62199741,-1602.129383,5544.931336,Washington
4900285,0.451,0,73,0,75.74906367,0,0,0,0,0,-111.4914563,38.20320183,-1125.346615,4393.809387,Utah
